GV-GEBN4800 | Category: Eyeball | Filters: 4MP, Fixed, AI, AI-ISP, Full Color, WDR Pro, 3 Axis, IP67, IK10
GV-REB5800 | Category: Eyeball | Filters: 5MP, Fixed, AI, Super Low Lux, WDR Pro, 3 Axis, IP67, IK10
GV-GEB4900 | Category: Eyeball | Filters: 4MP, Fixed, Cloud, AI, Super Low Lux, WDR Pro, 3 Axis, IP67, IK10
GV-GEBF4911 | Category: Eyeball | Filters: 4MP, Motorized, Cloud, AI, Full Color, Active Deterrence, Super Low Lux, WDR Pro, 3 Axis, IP66, IK10
GV-EBFC5800 | Category: Eyeball | Filters: 5MP, Fixed, AI, UL, Full Color, Super Low Lux, WDR Pro, 3 Axis, IP67
GV-EBD8813 | Category: Eyeball | Filters: 8MP, Motorized, AI, UL, Super Low Lux, WDR Pro, 3 Axis, IP67, IK10
GV-EBD4813 | Category: Eyeball | Filters: 4MP, Motorized, AI, UL, Super Low Lux, WDR Pro, 3 Axis, IP67, IK10
GV-EBD8800 | Category: Eyeball | Filters: 8MP, Fixed, AI, UL, Super Low Lux, WDR Pro, 3 Axis, IP67
GV-EBD4704 | Category: Eyeball | Filters: 4MP, Fixed, UL, Super Low Lux, WDR Pro, 3 Axis, IP67
GV-EBD4701 | Category: Eyeball | Filters: 4MP, Fixed, UL, Super Low Lux, WDR Pro, 3 Axis, IP67
GV-EBD4700 | Category: Eyeball | Filters: 4MP, Fixed, UL, Super Low Lux, WDR Pro, 3 Axis, IP67
GV-EBD2705 | Category: Eyeball | Filters: 2MP, Fixed, UL, WDR Pro, 3 Axis, IP67
GV-EBD2704 | Category: Eyeball | Filters: 2MP, Fixed, UL, WDR Pro, 3 Axis, IP67
GV-GVD4910 | Category: Dome | Filters: 4MP, Motorized, Cloud, AI, Super Low Lux, WDR Pro, 3 Axis, IP67, IK10
GV-GDR4900 | Category: Dome | Filters: 4MP, Fixed, Cloud, AI, Super Low Lux, WDR Pro, 3 Axis, IP67, IK10
GV-TFD4800 | Category: Dome | Filters: 4MP, Fixed, AI, UL, Super Low Lux, WDR Pro, 3 Axis, Pigtail-Free
